T,Smoothed_Pro
3470,9.994313265284285e-07
3471,9.993395342563327e-07
3472,9.992482008507267e-07
3473,9.991573266130065e-07
3474,9.990669118437037e-07
3475,9.989769568424864e-07
3476,9.988874619081587e-07
3477,9.987984273386605e-07
3478,9.987098534310685e-07
3479,9.986217404815951e-07
3480,9.985340887855886e-07
3481,9.984468986375345e-07
3482,9.983601703310526e-07
3483,9.982739041589009e-07
3484,9.98188100412972e-07
3485,9.98102759384295e-07
3486,9.98017881363036e-07
3487,9.979334666384958e-07
3488,9.978495154991126e-07
3489,9.9776602823246e-07
3490,9.976830051252474e-07
3491,9.976004464633216e-07
3492,9.975183525316644e-07
3493,9.974367236143944e-07
3494,9.973555599947657e-07
3495,9.972748619551691e-07
3496,9.971946297771312e-07
3497,9.971148637413147e-07
3498,9.970355641275189e-07
3499,9.969567312146786e-07
3500,9.96878365280865e-07
3501,9.968004666032856e-07
3502,9.967230354582844e-07
3503,9.966460721213398e-07
3504,9.965695768670685e-07
3505,9.964935499692224e-07
3506,9.96417991700689e-07
3507,9.963429023334924e-07
3508,9.962682821387934e-07
3509,9.961941313868879e-07
3510,9.961204503472091e-07
3511,9.960472392883247e-07
3512,9.959744984779404e-07
3513,9.959022281828965e-07
3514,9.958304286691705e-07
3515,9.957591002018754e-07
3516,9.956882430452602e-07
3517,9.95617857462711e-07
3518,9.955479437167487e-07
3519,9.954785020690315e-07
3520,9.954095327803527e-07
3521,9.953410361106433e-07
3522,9.952730123189682e-07
3523,9.952054616635303e-07
3524,9.951383844016678e-07
3525,9.950717807898554e-07
3526,9.950056510837032e-07
3527,9.949399955379586e-07
3528,9.94874814406504e-07
3529,9.948101079423586e-07
3530,9.947458763976775e-07
3531,9.946821200237522e-07
3532,9.946188390710098e-07
3533,9.945560337890138e-07
3534,9.944937044264641e-07
3535,9.944318512311966e-07
3536,9.943704744501826e-07
3537,9.943095743295311e-07
3538,9.942491511144854e-07
3539,9.941892050494263e-07
3540,9.941297363778703e-07
3541,9.9407074534247e-07
3542,9.940122321850138e-07
3543,9.939541971464263e-07
3544,9.938966404667694e-07
3545,9.938395623852393e-07
3546,9.9378296314017e-07
3547,9.937268429690301e-07
3548,9.936712021084258e-07
3549,9.936160407940983e-07
3550,9.935613592609256e-07
3551,9.93507157742921e-07
3552,9.934534364732354e-07
3553,9.934001956841543e-07
3554,9.933474356071002e-07
3555,9.932951564726316e-07
3556,9.932433585104428e-07
3557,9.931920419493648e-07
3558,9.931412070173643e-07
3559,9.93090853941544e-07
3560,9.930409829481433e-07
3561,9.92991594262537e-07
3562,9.929426881092369e-07
3563,9.928942647118901e-07
3564,9.928463242932802e-07
3565,9.927988670753271e-07
3566,9.927518932790865e-07
