T,Pro
53787,9.582491445515915e-06
53788,9.5826029533119e-06
53789,9.582713621613483e-06
53790,9.582823447732143e-06
53791,9.58293242897935e-06
53792,9.583040562666578e-06
53793,9.583147846105295e-06
53794,9.58325427660698e-06
53795,9.583359851483097e-06
53796,9.583464568045125e-06
53797,9.583568423604535e-06
53798,9.583671415472798e-06
53799,9.58377354096138e-06
53800,9.58387479738177e-06
53801,9.583975182045424e-06
53802,9.584074692263821e-06
53803,9.584173325348431e-06
53804,9.584271078610727e-06
53805,9.584367949362183e-06
53806,9.58446393491427e-06
53807,9.584559032578462e-06
53808,9.584653239666229e-06
53809,9.584746553489045e-06
53810,9.584838971358379e-06
53811,9.584930490585704e-06
53812,9.585021108482498e-06
53813,9.585110822360224e-06
53814,9.585199629530362e-06
53815,9.58528752730438e-06
53816,9.585374512993753e-06
53817,9.585460583909952e-06
53818,9.585545737364447e-06
53819,9.585629970668715e-06
53820,9.585713281134226e-06
53821,9.585795666072446e-06
53822,9.585877122794857e-06
53823,9.585957648612933e-06
53824,9.58603724083813e-06
53825,9.58611589678194e-06
53826,9.586193613755819e-06
53827,9.58627038907125e-06
53828,9.5863462200397e-06
53829,9.586421103972645e-06
53830,9.586495038181557e-06
53831,9.586568019977902e-06
53832,9.586640046673157e-06
53833,9.586711115578795e-06
53834,9.586781224006287e-06
53835,9.586850369267108e-06
53836,9.586918548672722e-06
53837,9.586985759534609e-06
53838,9.587051999164243e-06
53839,9.587117264873088e-06
53840,9.58718155397262e-06
53841,9.587244863774317e-06
53842,9.587307191589643e-06
53843,9.587368534730072e-06
53844,9.587428890507082e-06
53845,9.587488256232137e-06
53846,9.587546629216714e-06
53847,9.587604006772285e-06
53848,9.58766038621032e-06
53849,9.587715764842292e-06
53850,9.587770139979677e-06
53851,9.587823508933945e-06
53852,9.587875869016566e-06
53853,9.587927217539014e-06
53854,9.58797755181276e-06
53855,9.588026869149277e-06
53856,9.588075166860038e-06
53857,9.588122442256518e-06
53858,9.588168692650181e-06
53859,9.588213915352512e-06
53860,9.58825810767497e-06
53861,9.588301266929034e-06
53862,9.588343390426171e-06
53863,9.588384475477863e-06
53864,9.588424519395575e-06
53865,9.58846351949078e-06
53866,9.588501473074956e-06
53867,9.588538377459566e-06
53868,9.588574229956085e-06
53869,9.588609027875988e-06
53870,9.588642768530748e-06
53871,9.588675449231833e-06
53872,9.58870706729072e-06
53873,9.58873762001888e-06
53874,9.58876710472778e-06
53875,9.588795518728898e-06
53876,9.588822859333704e-06
53877,9.588849123853672e-06
53878,9.588874309600274e-06
53879,9.58889841388498e-06
53880,9.588921434019263e-06
53881,9.588943367314599e-06
53882,9.588964211082454e-06
53883,9.588983962634304e-06
53884,9.589002619281622e-06
53885,9.58902017833588e-06
53886,9.589036637108548e-06
53887,9.589051992911095e-06
53888,9.589066243055001e-06
53889,9.589079384851734e-06
53890,9.58909141561277e-06
53891,9.589102332649576e-06
53892,9.58911213327363e-06
53893,9.589120814796395e-06
53894,9.589128374529352e-06
53895,9.589134809783971e-06
53896,9.589140117871721e-06
